           aplay-4932  [002] .... 73814.594316: module_put: snd_pcm call_site=__fput refcnt=5
           aplay-4980  [002] .... 75045.852834: module_put: snd_pcm call_site=__fput refcnt=5
           rmmod-15190 [006] .... 76829.863660: module_put: snd_pcm call_site=module_unload_free refcnt=4
           aplay-15259 [002] .... 76984.039462: module_put: snd_pcm call_site=__fput refcnt=5
           rmmod-16395 [003] .... 86193.846871: module_put: snd_pcm call_site=module_unload_free refcnt=4
           rmmod-16395 [003] .... 86193.894053: module_put: snd_pcm call_site=module_unload_free refcnt=3
           rmmod-16428 [001] .... 86234.538141: module_put: snd_pcm call_site=module_unload_free refcnt=2
           aplay-16480 [002] .... 86362.042428: module_put: snd_pcm call_site=__fput refcnt=5
           rmmod-22475 [002] .... 315876.306094: snd_hdac_stream_stop: stream_tag: 1
           rmmod-22475 [002] .... 315876.414046: snd_hdac_stream_stop: stream_tag: 1
           rmmod-22475 [002] .... 315876.414059: snd_hdac_stream_stop: stream_tag: 2
           rmmod-22475 [002] .... 315876.414060: snd_hdac_stream_stop: stream_tag: 3
           rmmod-22475 [002] .... 315876.414062: snd_hdac_stream_stop: stream_tag: 4
           rmmod-22475 [002] .... 315876.414064: snd_hdac_stream_stop: stream_tag: 5
           rmmod-22475 [002] .... 315876.414069: snd_hdac_stream_stop: stream_tag: 6
           rmmod-22475 [002] .... 315876.414071: snd_hdac_stream_stop: stream_tag: 7
           rmmod-22475 [002] .... 315876.414073: snd_hdac_stream_stop: stream_tag: 8
           rmmod-24794 [004] .... 321467.514122: snd_hdac_stream_stop: stream_tag: 1
           rmmod-24794 [004] .... 321467.626462: snd_hdac_stream_stop: stream_tag: 1
           rmmod-24794 [004] .... 321467.626477: snd_hdac_stream_stop: stream_tag: 2
           rmmod-24794 [004] .... 321467.626480: snd_hdac_stream_stop: stream_tag: 3
           rmmod-24794 [004] .... 321467.626485: snd_hdac_stream_stop: stream_tag: 4
           rmmod-24794 [004] .... 321467.626487: snd_hdac_stream_stop: stream_tag: 5
           rmmod-24794 [004] .... 321467.626488: snd_hdac_stream_stop: stream_tag: 6
           rmmod-24794 [004] .... 321467.626491: snd_hdac_stream_stop: stream_tag: 7
           rmmod-24794 [004] .... 321467.626492: snd_hdac_stream_stop: stream_tag: 8
           aplay-24982 [001] .... 321913.677166: azx_pcm_open: stream_tag: 5
           aplay-24982 [001] .... 321913.677516: azx_pcm_hw_params: stream_tag: 5
           aplay-24982 [001] .... 321913.677551: azx_pcm_prepare: stream_tag: 5
           aplay-24982 [001] .... 321913.677584: hda_send_cmd: [0000:00:1b.0:0] val=0x002f0600
           aplay-24982 [001] .... 321913.677646: hda_get_response: [0000:00:1b.0:0] val=0x00000000
           aplay-24982 [001] .... 321913.677657: hda_send_cmd: [0000:00:1b.0:0] val=0x00270650
           aplay-24982 [001] .... 321913.677669: hda_send_cmd: [0000:00:1b.0:0] val=0x002a0000
           aplay-24982 [001] .... 321913.677727: hda_get_response: [0000:00:1b.0:0] val=0x00000031
           aplay-24982 [001] .... 321913.686596: hda_send_cmd: [0000:00:1b.0:0] val=0x00220011
           aplay-24982 [001] .... 321913.686621: hda_send_cmd: [0000:00:1b.0:0] val=0x003f0600
           aplay-24982 [001] .... 321913.686686: hda_get_response: [0000:00:1b.0:0] val=0x00000000
           aplay-24982 [001] .... 321913.686691: hda_send_cmd: [0000:00:1b.0:0] val=0x00370650
           aplay-24982 [001] .... 321913.686698: hda_send_cmd: [0000:00:1b.0:0] val=0x003a0000
           aplay-24982 [001] .... 321913.686773: hda_get_response: [0000:00:1b.0:0] val=0x00000031
           aplay-24982 [001] .... 321913.698664: hda_send_cmd: [0000:00:1b.0:0] val=0x00320011
           aplay-24982 [001] d... 321913.698748: azx_pcm_trigger: [0:4] cmd=1
           aplay-24982 [001] d... 321913.698750: snd_hdac_stream_start: stream_tag: 5
           aplay-24982 [001] d... 321913.698786: azx_get_position: [0:4] pos=192, delay=0
          <idle>-0     [002] d.h. 321916.258038: azx_get_position: [0:4] pos=32804, delay=43
           aplay-24982 [002] d... 321916.258124: azx_get_position: [0:4] pos=32804, delay=39
          <idle>-0     [002] d.h. 321916.343204: azx_get_position: [0:4] pos=49156, delay=43
           aplay-24982 [002] d... 321916.343291: azx_get_position: [0:4] pos=49156, delay=39
          <idle>-0     [002] d.h. 321916.429198: azx_get_position: [0:4] pos=128, delay=43
           aplay-24982 [002] d... 321916.429286: azx_get_position: [0:4] pos=128, delay=38
          <idle>-0     [002] d.h. 321916.514367: azx_get_position: [0:4] pos=16484, delay=43
           aplay-24982 [002] d... 321916.514450: azx_get_position: [0:4] pos=16484, delay=39
          <idle>-0     [002] d.h. 321916.599536: azx_get_position: [0:4] pos=32836, delay=43
           aplay-24982 [002] d... 321916.599623: azx_get_position: [0:4] pos=32836, delay=39
          <idle>-0     [002] d.h. 321916.684663: azx_get_position: [0:4] pos=49188, delay=45
           aplay-24982 [002] d... 321916.684748: azx_get_position: [0:4] pos=49188, delay=41
          <idle>-0     [002] d.h. 321916.770533: azx_get_position: [0:4] pos=128, delay=42
           aplay-24982 [002] d... 321916.770620: azx_get_position: [0:4] pos=128, delay=39
          <idle>-0     [002] d.h. 321916.855698: azx_get_position: [0:4] pos=16484, delay=43
           aplay-24982 [002] d... 321916.855779: azx_get_position: [0:4] pos=16484, delay=40
          <idle>-0     [002] d.h. 321916.940859: azx_get_position: [0:4] pos=32836, delay=44
           aplay-24982 [002] d... 321916.940938: azx_get_position: [0:4] pos=32836, delay=40
          <idle>-0     [002] d.h. 321917.025835: azx_get_position: [0:4] pos=49156, delay=45
           aplay-24982 [002] d... 321917.025931: azx_get_position: [0:4] pos=49156, delay=40
          <idle>-0     [002] d.h. 321917.111701: azx_get_position: [0:4] pos=100, delay=43
           aplay-24982 [002] d... 321917.111795: azx_get_position: [0:4] pos=100, delay=39
          <idle>-0     [002] d.h. 321917.196858: azx_get_position: [0:4] pos=16452, delay=44
           aplay-24982 [002] d... 321917.196941: azx_get_position: [0:4] pos=16452, delay=40
          <idle>-0     [002] d.h. 321917.281866: azx_get_position: [0:4] pos=32772, delay=43
           aplay-24982 [002] d... 321917.281963: azx_get_position: [0:4] pos=32772, delay=39
          <idle>-0     [002] d.h. 321917.367864: azx_get_position: [0:4] pos=49280, delay=42
           aplay-24982 [002] d... 321917.367951: azx_get_position: [0:4] pos=49280, delay=38
          <idle>-0     [002] d.h. 321917.453026: azx_get_position: [0:4] pos=100, delay=44
           aplay-24982 [002] d... 321917.453106: azx_get_position: [0:4] pos=100, delay=40
          <idle>-0     [002] d.h. 321917.538198: azx_get_position: [0:4] pos=16452, delay=43
           aplay-24982 [002] d... 321917.538292: azx_get_position: [0:4] pos=16452, delay=39
          <idle>-0     [002] d.h. 321917.623329: azx_get_position: [0:4] pos=32804, delay=45
           aplay-24982 [002] d... 321917.623428: azx_get_position: [0:4] pos=32804, delay=40
          <idle>-0     [002] d.h. 321917.709194: azx_get_position: [0:4] pos=49280, delay=42
           aplay-24982 [002] d... 321917.709274: azx_get_position: [0:4] pos=49280, delay=39
          <idle>-0     [002] d.h. 321917.794360: azx_get_position: [0:4] pos=100, delay=43
           aplay-24982 [002] d... 321917.794442: azx_get_position: [0:4] pos=100, delay=39
          <idle>-0     [002] d.h. 321917.879469: azx_get_position: [0:4] pos=16452, delay=46
           aplay-24982 [002] d... 321917.879540: azx_get_position: [0:4] pos=16452, delay=43
          <idle>-0     [002] dNh. 321917.964496: azx_get_position: [0:4] pos=32772, delay=45
           aplay-24982 [003] d... 321917.964593: azx_get_position: [0:4] pos=32772, delay=40
          <idle>-0     [002] d.h. 321918.050362: azx_get_position: [0:4] pos=49252, delay=43
           aplay-24982 [002] d... 321918.050464: azx_get_position: [0:4] pos=49252, delay=38
          <idle>-0     [002] d.h. 321918.135524: azx_get_position: [0:4] pos=68, delay=43
           aplay-24982 [002] d... 321918.135625: azx_get_position: [0:4] pos=68, delay=39
          <idle>-0     [002] d.h. 321918.220665: azx_get_position: [0:4] pos=16420, delay=45
           aplay-24982 [002] d... 321918.220761: azx_get_position: [0:4] pos=16420, delay=40
          <idle>-0     [002] d.h. 321918.306529: azx_get_position: [0:4] pos=32896, delay=42
           aplay-24982 [002] d... 321918.306653: azx_get_position: [0:4] pos=32896, delay=36
          <idle>-0     [002] d.h. 321918.391693: azx_get_position: [0:4] pos=49252, delay=43
           aplay-24982 [002] d... 321918.391792: azx_get_position: [0:4] pos=49252, delay=38
          <idle>-0     [002] d.h. 321918.476849: azx_get_position: [0:4] pos=68, delay=44
           aplay-24982 [002] d... 321918.476952: azx_get_position: [0:4] pos=68, delay=39
          <idle>-0     [002] d.h. 321918.562027: azx_get_position: [0:4] pos=16420, delay=43
           aplay-24982 [002] d... 321918.562133: azx_get_position: [0:4] pos=16420, delay=38
          <idle>-0     [002] d.h. 321918.647180: azx_get_position: [0:4] pos=32772, delay=44
           aplay-24982 [002] d... 321918.647285: azx_get_position: [0:4] pos=32772, delay=39
          <idle>-0     [002] d.h. 321918.733185: azx_get_position: [0:4] pos=49280, delay=43
           aplay-24982 [002] d... 321918.733287: azx_get_position: [0:4] pos=49280, delay=38
          <idle>-0     [002] d.h. 321918.818357: azx_get_position: [0:4] pos=100, delay=43
           aplay-24982 [002] d... 321918.818437: azx_get_position: [0:4] pos=100, delay=39
          <idle>-0     [002] d.h. 321918.903495: azx_get_position: [0:4] pos=16452, delay=45
           aplay-24982 [002] d... 321918.903577: azx_get_position: [0:4] pos=16452, delay=41
          <idle>-0     [002] d.h. 321918.988486: azx_get_position: [0:4] pos=32772, delay=45
           aplay-24982 [002] d... 321918.988564: azx_get_position: [0:4] pos=32772, delay=41
          <idle>-0     [002] d.h. 321919.074353: azx_get_position: [0:4] pos=49252, delay=43
           aplay-24982 [002] d... 321919.074432: azx_get_position: [0:4] pos=49252, delay=40
          <idle>-0     [002] d.h. 321919.159460: azx_get_position: [0:4] pos=68, delay=46
           aplay-24982 [002] d... 321919.159530: azx_get_position: [0:4] pos=68, delay=43
          <idle>-0     [002] d.h. 321919.244512: azx_get_position: [0:4] pos=16388, delay=44
           aplay-24982 [002] d... 321919.244584: azx_get_position: [0:4] pos=16388, delay=40
          <idle>-0     [002] d.h. 321919.330350: azx_get_position: [0:4] pos=32868, delay=43
           aplay-24982 [002] d... 321919.330423: azx_get_position: [0:4] pos=32868, delay=40
          <idle>-0     [002] d.h. 321919.415519: azx_get_position: [0:4] pos=49220, delay=43
           aplay-24982 [002] d... 321919.415594: azx_get_position: [0:4] pos=49220, delay=40
          <idle>-0     [002] d.h. 321919.500510: azx_get_position: [0:4] pos=4, delay=44
           aplay-24982 [002] d... 321919.500586: azx_get_position: [0:4] pos=4, delay=40
          <idle>-0     [002] d.h. 321919.586347: azx_get_position: [0:4] pos=16484, delay=44
           aplay-24982 [002] d... 321919.586434: azx_get_position: [0:4] pos=16484, delay=39
          <idle>-0     [002] d.h. 321919.671460: azx_get_position: [0:4] pos=32836, delay=46
           aplay-24982 [002] d... 321919.671529: azx_get_position: [0:4] pos=32836, delay=43
          <idle>-0     [002] d.h. 321919.756457: azx_get_position: [0:4] pos=49156, delay=46
           aplay-24982 [002] d... 321919.756525: azx_get_position: [0:4] pos=49156, delay=43
          <idle>-0     [002] d.h. 321919.842345: azx_get_position: [0:4] pos=100, delay=44
           aplay-24982 [002] d... 321919.842430: azx_get_position: [0:4] pos=100, delay=39
          <idle>-0     [002] d.h. 321919.927482: azx_get_position: [0:4] pos=16452, delay=45
           aplay-24982 [002] d... 321919.927572: azx_get_position: [0:4] pos=16452, delay=41
          <idle>-0     [002] d.h. 321920.012509: azx_get_position: [0:4] pos=32772, delay=44
           aplay-24982 [002] d... 321920.012600: azx_get_position: [0:4] pos=32772, delay=39
          <idle>-0     [002] d.h. 321920.098516: azx_get_position: [0:4] pos=49280, delay=42
           aplay-24982 [002] d... 321920.098601: azx_get_position: [0:4] pos=49280, delay=38
          <idle>-0     [002] d.h. 321920.183677: azx_get_position: [0:4] pos=100, delay=43
           aplay-24982 [002] d... 321920.183757: azx_get_position: [0:4] pos=100, delay=40
          <idle>-0     [002] d.h. 321920.268791: azx_get_position: [0:4] pos=16452, delay=46
           aplay-24982 [002] d... 321920.268860: azx_get_position: [0:4] pos=16452, delay=43
          <idle>-0     [002] d.h. 321920.353804: azx_get_position: [0:4] pos=32772, delay=45
           aplay-24982 [002] d... 321920.353888: azx_get_position: [0:4] pos=32772, delay=41
          <idle>-0     [002] d.h. 321920.439680: azx_get_position: [0:4] pos=49252, delay=43
           aplay-24982 [002] d... 321920.439762: azx_get_position: [0:4] pos=49252, delay=39
          <idle>-0     [002] d.h. 321920.524840: azx_get_position: [0:4] pos=68, delay=44
           aplay-24982 [002] d... 321920.524917: azx_get_position: [0:4] pos=68, delay=40
          <idle>-0     [002] d.h. 321920.609851: azx_get_position: [0:4] pos=16388, delay=43
           aplay-24982 [002] d... 321920.609944: azx_get_position: [0:4] pos=16388, delay=39
          <idle>-0     [002] d.h. 321920.695843: azx_get_position: [0:4] pos=32896, delay=42
           aplay-24982 [002] d... 321920.695920: azx_get_position: [0:4] pos=32896, delay=39
          <idle>-0     [002] d.h. 321920.781011: azx_get_position: [0:4] pos=49252, delay=43
           aplay-24982 [002] d... 321920.781089: azx_get_position: [0:4] pos=49252, delay=39
          <idle>-0     [002] d.h. 321920.866177: azx_get_position: [0:4] pos=68, delay=43
           aplay-24982 [002] d... 321920.866255: azx_get_position: [0:4] pos=68, delay=40
          <idle>-0     [002] d.h. 321920.951176: azx_get_position: [0:4] pos=16388, delay=43
           aplay-24982 [002] d... 321920.951251: azx_get_position: [0:4] pos=16388, delay=40
          <idle>-0     [002] d.h. 321921.037006: azx_get_position: [0:4] pos=32868, delay=43
           aplay-24982 [002] d... 321921.037078: azx_get_position: [0:4] pos=32868, delay=40
          <idle>-0     [002] d.h. 321921.122142: azx_get_position: [0:4] pos=49220, delay=45
           aplay-24982 [002] d... 321921.122236: azx_get_position: [0:4] pos=49220, delay=41
          <idle>-0     [002] d.h. 321921.207165: azx_get_position: [0:4] pos=4, delay=44
           aplay-24982 [002] d... 321921.207244: azx_get_position: [0:4] pos=4, delay=40
          <idle>-0     [002] d.h. 321921.293003: azx_get_position: [0:4] pos=16484, delay=44
           aplay-24982 [002] d... 321921.293074: azx_get_position: [0:4] pos=16484, delay=40
          <idle>-0     [002] d.h. 321921.378176: azx_get_position: [0:4] pos=32836, delay=43
           aplay-24982 [002] d... 321921.378260: azx_get_position: [0:4] pos=32836, delay=40
          <idle>-0     [002] d.h. 321921.463170: azx_get_position: [0:4] pos=49156, delay=43
           aplay-24982 [002] d... 321921.463245: azx_get_position: [0:4] pos=49156, delay=40
          <idle>-0     [002] d.h. 321921.549001: azx_get_position: [0:4] pos=100, delay=44
           aplay-24982 [002] d... 321921.549075: azx_get_position: [0:4] pos=100, delay=40
          <idle>-0     [002] d.h. 321921.634167: azx_get_position: [0:4] pos=16452, delay=44
           aplay-24982 [002] d... 321921.634242: azx_get_position: [0:4] pos=16452, delay=40
          <idle>-0     [002] d.h. 321921.719168: azx_get_position: [0:4] pos=32772, delay=43
           aplay-24982 [002] d... 321921.719250: azx_get_position: [0:4] pos=32772, delay=40
          <idle>-0     [002] d.h. 321921.804999: azx_get_position: [0:4] pos=49252, delay=44
           aplay-24982 [002] d... 321921.805072: azx_get_position: [0:4] pos=49252, delay=40
          <idle>-0     [002] d.h. 321921.890166: azx_get_position: [0:4] pos=68, delay=44
           aplay-24982 [002] d... 321921.890248: azx_get_position: [0:4] pos=68, delay=40
          <idle>-0     [002] d.h. 321921.975168: azx_get_position: [0:4] pos=16388, delay=43
           aplay-24982 [002] d... 321921.975250: azx_get_position: [0:4] pos=16388, delay=39
          <idle>-0     [002] d.h. 321922.061169: azx_get_position: [0:4] pos=32896, delay=42
           aplay-24982 [002] d... 321922.061258: azx_get_position: [0:4] pos=32896, delay=38
          <idle>-0     [002] d.h. 321922.146337: azx_get_position: [0:4] pos=49252, delay=43
           aplay-24982 [002] d... 321922.146423: azx_get_position: [0:4] pos=49252, delay=40
          <idle>-0     [002] d.h. 321922.231514: azx_get_position: [0:4] pos=68, delay=43
           aplay-24982 [002] d... 321922.231608: azx_get_position: [0:4] pos=68, delay=38
          <idle>-0     [002] d.h. 321922.316645: azx_get_position: [0:4] pos=16420, delay=44
           aplay-24982 [002] d... 321922.316728: azx_get_position: [0:4] pos=16420, delay=40
          <idle>-0     [002] d.h. 321922.402499: azx_get_position: [0:4] pos=32896, delay=42
           aplay-24982 [002] d... 321922.402575: azx_get_position: [0:4] pos=32896, delay=39
          <idle>-0     [002] d.h. 321922.487665: azx_get_position: [0:4] pos=49252, delay=43
           aplay-24982 [002] d... 321922.487743: azx_get_position: [0:4] pos=49252, delay=40
          <idle>-0     [002] d.h. 321922.572820: azx_get_position: [0:4] pos=68, delay=44
           aplay-24982 [002] d... 321922.572895: azx_get_position: [0:4] pos=68, delay=40
          <idle>-0     [002] d.h. 321922.657830: azx_get_position: [0:4] pos=16388, delay=43
           aplay-24982 [002] d... 321922.657906: azx_get_position: [0:4] pos=16388, delay=40
          <idle>-0     [002] d.h. 321922.743664: azx_get_position: [0:4] pos=32868, delay=43
           aplay-24982 [002] d... 321922.743746: azx_get_position: [0:4] pos=32868, delay=39
          <idle>-0     [002] d.h. 321922.828825: azx_get_position: [0:4] pos=49220, delay=44
           aplay-24982 [002] d... 321922.828901: azx_get_position: [0:4] pos=49220, delay=40
          <idle>-0     [002] d.h. 321922.913831: azx_get_position: [0:4] pos=4, delay=43
           aplay-24982 [002] d... 321922.913907: azx_get_position: [0:4] pos=4, delay=40
          <idle>-0     [002] d.h. 321922.999664: azx_get_position: [0:4] pos=16484, delay=43
           aplay-24982 [002] d... 321922.999739: azx_get_position: [0:4] pos=16484, delay=40
          <idle>-0     [002] d.h. 321923.084808: azx_get_position: [0:4] pos=32836, delay=44
           aplay-24982 [002] d... 321923.084913: azx_get_position: [0:4] pos=32836, delay=39
          <idle>-0     [002] d.h. 321923.169998: azx_get_position: [0:4] pos=49188, delay=43
           aplay-24982 [002] d... 321923.170089: azx_get_position: [0:4] pos=49188, delay=39
          <idle>-0     [002] d.h. 321923.255130: azx_get_position: [0:4] pos=4, delay=45
           aplay-24982 [002] d... 321923.255229: azx_get_position: [0:4] pos=4, delay=40
          <idle>-0     [002] d.h. 321923.340996: azx_get_position: [0:4] pos=16484, delay=43
           aplay-24982 [002] d... 321923.341081: azx_get_position: [0:4] pos=16484, delay=39
          <idle>-0     [002] d.h. 321923.426159: azx_get_position: [0:4] pos=32836, delay=43
           aplay-24982 [002] d... 321923.426234: azx_get_position: [0:4] pos=32836, delay=40
          <idle>-0     [002] d.h. 321923.511151: azx_get_position: [0:4] pos=49156, delay=44
